Date_Time,ACTIVE_POWER,APPARENT_POWER,AVERAGE_VOLTAGE,B_PHASE_CURRENT_THD,B_PHASE_LINE_CURRENT,B_PHASE_VOLTAGE_THD,BR_VOLTAGE,FREQUENCY,NEUTRAL_LINE_CURRENT,POWER_FACTOR,R_PHASE_CURRENT_THD,R_PHASE_LINE_CURRENT,R_PHASE_VOLTAGE_THD,REACTIVE_POWER,RY_VOLTAGE,TOTAL_EXPORT_KVAh,TOTAL_EXPORT_KVArh,TOTAL_EXPORT_KWh,TOTAL_IMPORT_KVAh,TOTAL_IMPORT_KVArh,TOTAL_IMPORT_KWh,Y_PHASE_CURRENT_THD,Y_PHASE_LINE_CURRENT,Y_PHASE_VOLTAGE_THD,YB_VOLTAGE
Wed Jan 15 2025 17:30:39 GMT+0530 (India Standard Time),3714.669921875,3715.449951171875,10971.51953125,1.75,197.0894012451172,0.6000000238418579,10637.271484375,50.064998626708984,0.43779999017715454,-0.9990000128746033,1.5099999904632568,197.29559326171875,2.569999933242798,-60.7400016784668,10979.4111328125,87866.6875,505481.59375,30937.7890625,8221696,3014.600341796875,8207879,1.559999942779541,198.0756072998047,0.6399999856948853,10637.271484375
Wed Jan 15 2025 17:32:41 GMT+0530 (India Standard Time),2989.27001953125,2989.820068359375,10968.5341796875,2.2799999713897705,158.47659301757812,0.6499999761581421,10642.8017578125,50.090999603271484,0.37070000171661377,-0.9990000128746033,2.3299999237060547,158.6696014404297,2.609999895095825,-42.810001373291016,10982.3720703125,87866.6875,505484.75,30937.7890625,8221803,3014.600341796875,8207986.5,2.0199999809265137,159.51600646972656,0.6600000262260437,10642.8017578125
Wed Jan 15 2025 17:34:43 GMT+0530 (India Standard Time),2742.7099609375,2743.10009765625,10959.5166015625,2.569999933242798,145.3892059326172,0.6800000071525574,10633.3173828125,50.06999969482422,0.4140999913215637,-0.9990000128746033,2.180000066757202,145.64219665527344,2.6600000858306885,-37.790000915527344,10974.04296875,87866.6875,505486.96875,30937.7890625,8221901.5,3014.600341796875,8208083.5,2.369999885559082,146.647705078125,0.6200000047683716,10633.3173828125
Wed Jan 15 2025 17:36:41 GMT+0530 (India Standard Time),2175.27001953125,2175.3798828125,10955.078125,3.700000047683716,115.30879974365234,0.7300000190734863,10625.232421875,50.007999420166016,0.3853999972343445,-0.9990000128746033,3.140000104904175,115.5208969116211,2.6600000858306885,-25.90999984741211,10967.0703125,87866.6875,505488.4375,30937.7890625,8221982,3014.600341796875,8208166.5,3.369999885559082,116.470703125,0.7300000190734863,10625.232421875
Wed Jan 15 2025 17:37:42 GMT+0530 (India Standard Time),2051.8701171875,2051.949951171875,10957.513671875,4.050000190734863,108.7333984375,0.699999988079071,10629.662109375,49.987998962402344,0.3671000003814697,-0.9990000128746033,3.390000104904175,108.9280014038086,2.6500000953674316,-24.149999618530273,10968.76953125,87866.6875,505488.96875,30937.7890625,8222019.5,3014.600341796875,8208201,3.690000057220459,109.84449768066406,0.6700000166893005,10629.662109375
Wed Jan 15 2025 17:39:42 GMT+0530 (India Standard Time),1920.239990234375,1920.25,10940.2822265625,4.46999979019165,101.82350158691406,0.7300000190734863,10624.5224609375,49.957000732421875,0.30399999022483826,-0.9990000128746033,3.859999895095825,102.01020050048828,2.609999895095825,-18.850000381469727,10942.9140625,87866.6875,505489.78125,30937.7890625,8222086,3014.600341796875,8208269,4.230000019073486,103.09860229492188,0.7099999785423279,10624.5224609375
Wed Jan 15 2025 17:40:41 GMT+0530 (India Standard Time),1745.510009765625,1745.5799560546875,10921.4189453125,5.039999961853027,92.7417984008789,0.7300000190734863,10630.681640625,49.979000091552734,0.34220001101493835,-0.9990000128746033,4.289999961853027,92.89459991455078,2.6700000762939453,-20.899999618530273,10910.7529296875,87866.6875,505490.1875,30937.7890625,8222116.5,3014.600341796875,8208299,5.449999809265137,93.76740264892578,0.8600000143051147,10630.681640625
Wed Jan 15 2025 17:41:42 GMT+0530 (India Standard Time),1507.4000244140625,1507.6099853515625,10911.73046875,5.340000152587891,80.14070129394531,0.7400000095367432,10616.7568359375,49.99100112915039,0.25429999828338623,-0.9990000128746033,4.800000190734863,80.24349975585938,2.700000047683716,-19.59000015258789,10913.044921875,87866.6875,505490.5625,30937.7890625,8222144,3014.600341796875,8208326,5.400000095367432,81.08290100097656,0.9399999976158142,10616.7568359375
Wed Jan 15 2025 17:42:41 GMT+0530 (India Standard Time),1333.800048828125,1333.9599609375,10933.0712890625,6.289999961853027,70.71769714355469,0.6800000071525574,10618.6123046875,49.9739990234375,0.25529998540878296,-0.9990000128746033,5.889999866485596,70.89430236816406,2.740000009536743,-18.209999084472656,10934.7666015625,87866.6875,505490.96875,30937.7890625,8222166.5,3014.600341796875,8208349,6.210000038146973,71.74449920654297,0.8600000143051147,10618.6123046875
Wed Jan 15 2025 17:46:42 GMT+0530 (India Standard Time),1170.6700439453125,1170.77001953125,10934.4189453125,7.260000228881836,61.98429870605469,0.7200000286102295,10612.0693359375,49.99700164794922,0.29120001196861267,-0.9990000128746033,6.639999866485596,62.13100051879883,2.6600000858306885,-17.84000015258789,10948.669921875,87866.6875,505492.46875,30937.7890625,8222251.5,3014.600341796875,8208434.5,6.550000190734863,63.085201263427734,0.7300000190734863,10612.0693359375
Wed Jan 15 2025 15:09:41 GMT+0530 (India Standard Time),3277.860107421875,3278.080078125,10944.02734375,2.180000066757202,174.64759826660156,0.6299999952316284,10565.04296875,49.99399948120117,0.40939998626708984,-0.9990000128746033,2,174.88279724121094,2.680000066757202,-34.22999954223633,10931.26171875,87866.6875,505232.375,30937.7890625,8211303,3006.510009765625,8197492,2.180000066757202,175.57550048828125,0.6800000071525574,10565.04296875
Wed Jan 15 2025 15:14:42 GMT+0530 (India Standard Time),3594.949951171875,3596.510009765625,10927.9267578125,1.8700000047683716,191.70440673828125,0.5799999833106995,10560.59765625,49.97200012207031,0.40450000762939453,-0.9990000128746033,1.659999966621399,191.8878936767578,2.640000104904175,-38.16999816894531,10933.7939453125,87866.6875,505236.625,30937.7890625,8211585,3006.510009765625,8197773.5,1.7599999904632568,192.62930297851562,0.7099999785423279,10560.59765625
