Date_Time,Active_Power
2025-01-20 07:57:44,70.99500274658203,50.83399963378906
2025-01-20 07:58:43,75.55599975585938,52.709999084472656
2025-01-20 07:59:43,73.64900207519531,51.665000915527344
2025-01-20 08:00:44,69.4229965209961,48.41400146484375
2025-01-20 08:01:43,65.83200073242188,46.07099914550781
2025-01-20 08:02:43,61.89899826049805,43.91600036621094
2025-01-20 08:03:41,60.30099868774414,43.08599853515625
2025-01-20 08:04:43,60.064998626708984,42.71699905395508
2025-01-20 08:05:43,61.060001373291016,43.16600036621094
2025-01-20 08:06:43,62.194000244140625,43.768001556396484
2025-01-20 08:07:44,64.87799835205078,45.21099853515625
2025-01-20 08:08:43,67.62799835205078,46.82699966430664
2025-01-20 08:09:42,71.41899871826172,48.571998596191406
2025-01-20 08:10:43,69.09400177001953,48.0880012512207
2025-01-20 08:11:42,68.01499938964844,47.55500030517578
2025-01-20 08:12:42,71.66500091552734,49.8120002746582
2025-01-20 08:13:43,79.35199737548828,55.84700012207031
2025-01-20 08:14:42,95.90399932861328,64.76799774169922
2025-01-20 08:15:43,106.91699981689453,71.19599914550781
2025-01-20 08:16:43,117.8949966430664,76.65499877929688
2025-01-20 08:17:42,119.2770004272461,72.0780029296875
2025-01-20 08:18:43,90.15699768066406,60.13600158691406
2025-01-20 08:19:43,94.83999633789062,61.527000427246094
2025-01-20 08:20:42,85.81199645996094,57.667999267578125
2025-01-20 08:21:43,77.31199645996094,53.882999420166016
2025-01-20 08:22:44,77.11399841308594,53.8390007019043
2025-01-20 08:23:42,79.14900207519531,55.875
2025-01-20 08:24:43,84.77799987792969,58.016998291015625
2025-01-20 08:25:42,85.80999755859375,59.56100082397461
2025-01-20 08:26:43,87.4800033569336,63.41299819946289
2025-01-20 08:27:42,93.10299682617188,64.88600158691406
2025-01-20 08:28:41,94.59600067138672,70.25499725341797
2025-01-20 08:29:43,93.53500366210938,68.09700012207031
2025-01-20 08:30:43,80.38500213623047,57.6349983215332
2025-01-20 08:31:42,80.96600341796875,57.56700134277344
2025-01-20 08:32:43,79.4260025024414,55.47200012207031
2025-01-20 08:33:43,70.73500061035156,51.48699951171875
2025-01-20 08:34:42,70.19100189208984,51.67599868774414
2025-01-20 08:35:43,71.51799774169922,51.858001708984375
2025-01-20 08:36:43,70.21299743652344,50.816001892089844
2025-01-20 08:37:43,68.04000091552734,49.69499969482422
2025-01-20 08:38:43,66.68099975585938,48.279998779296875
2025-01-20 08:39:43,66.23600006103516,47.91899871826172
2025-01-20 08:40:43,66.18399810791016,47.875
2025-01-20 08:41:43,66.2750015258789,47.77199935913086
2025-01-20 08:42:42,65.93499755859375,47.6609992980957
2025-01-20 08:43:42,65.56400299072266,47.422000885009766
2025-01-20 08:44:43,65.72200012207031,47.44900131225586
2025-01-20 08:45:43,66.90299987792969,48.555999755859375
2025-01-20 08:46:42,67.35399627685547,48.702999114990234
2025-01-20 08:47:43,68.47899627685547,49.51100158691406
2025-01-20 08:48:43,68.4749984741211,49.46200180053711
2025-01-20 08:49:43,68.1989974975586,49.30799865722656
2025-01-20 08:50:43,68.28600311279297,49.486000061035156
2025-01-20 08:51:42,68.27999877929688,49.56999969482422
2025-01-20 08:52:43,68.50900268554688,49.71900177001953
2025-01-20 08:53:43,68.39600372314453,49.659000396728516
2025-01-20 08:54:42,69.1729965209961,50.257999420166016
2025-01-20 08:55:42,69.32099914550781,50.4109992980957
2025-01-20 08:56:44,68.00800323486328,49.472999572753906
2025-01-20 08:57:42,67.18699645996094,49.06100082397461
2025-01-20 08:58:43,66.0979995727539,48.23899841308594
2025-01-20 08:59:43,64.76499938964844,47.095001220703125
2025-01-20 09:00:43,63.69499969482422,46.55699920654297
2025-01-20 09:01:43,62.459999084472656,45.446998596191406
2025-01-20 09:02:42,61.20399856567383,44.44300079345703
2025-01-20 09:03:44,60.2130012512207,43.755001068115234
2025-01-20 09:04:44,59.18600082397461,42.97800064086914
2025-01-20 09:05:43,58.143001556396484,42.255001068115234
2025-01-20 09:06:42,57.63999938964844,41.93600082397461
